"","filename","biggest_patch_size","n_patches","nned"
"184","SMP4_Flat-headed_Galaxias_Galaxias_rostratus_Spp4692_RF_225m_vg94",13952817,3,569.894015245705
"185","SMP4_Forest_Raven_Corvus_tasmanicus_Spp10868_RF_225m_vg94",3280494.9375,5,826.821598840427
"186","SMP4_Fork-tailed_Swift_Apus_pacificus_Spp10335_RF_225m_vg94",15880009.5,5,730.981774194512
"187","SMP4_Four-toed_Skink_Hemiergis_peronii_Spp12446_RF_225m_vg94",129924,7,887.178186211331
"188","SMP4_Freckled_Duck_Stictonetta_naevosa_Spp10214_RF_225m_vg94",131695.875,13,1084.21484451062
"189","SMP4_Freshwater_Catfish_Tandanus_tandanus_Spp528545_RF_225m_vg94",299234.25,16,773.79012389255
"190","SMP4_Fuscous_Honeyeater_Lichenostomus_fuscus_Spp10613_RF_225m_vg94",2766413.25,11,840.16498832876
"191","SMP4_Galah_Eolophus_roseicapillus_Spp10273_RF_225m_vg94",16559331.1875,5,657.323073874706
"192","SMP4_Gang-gang_Cockatoo_Callocephalon_fimbriatum_Spp10268_RF_225m_vg94",5469854.0625,14,748.160249700937
"193","SMP4_Garden_Skink_Lampropholis_guichenoti_Spp12451_RF_225m_vg94",6878919.9375,14,753.696645773962
"194","SMP4_Giant_Bullfrog_Limnodynastes_interioris_Spp13060_RF_225m_vg94",1965586.5,1,633.625579258771
"195","SMP4_Giant_Burrowing_Frog_Heleioporus_australiacus_Spp13042_RF_225m_vg94",984291.75,3,627.12303970063
"196","SMP4_Gilberts_Whistler_Pachycephala_inornata_Spp10403_RF_225m_vg94",2154154.5,11,777.878555627555
"197","SMP4_Giles_Planigale_Planigale_gilesi_Spp11050_RF_225m_vg94",102125.8125,1,1126.3432330109
"198","SMP4_Gippsland_Water_Dragon_Intellagama_lesueurii_howittii_Spp62919_RF_225m_vg94",2166193.125,2,662.165799709812
"199","SMP4_Glossy_Black-Cockatoo_Calyptorhynchus_lathami_lathami_Spp10265_RF_225m_vg94",103366.125,4,818.682940375799
"200","SMP4_Glossy_Grass_Skink_Pseudemoia_rawlinsoni_Spp12683_RF_225m_vg94",2163935.25,3,650.349492979803
"201","SMP4_Glossy_Ibis_Plegadis_falcinellus_Spp10178_RF_225m_vg94",349833.9375,23,892.874459609523
"202","SMP4_Golden_Perch_Macquaria_ambigua_Spp4873_RF_225m_vg94",1911751.875,15,688.24091696042
"203","SMP4_Golden_Whistler_Pachycephala_pectoralis_Spp10398_RF_225m_vg94",8625684.9375,13,739.594344041556
"204","SMP4_Golden-headed_Cisticola_Cisticola_exilis_Spp10525_RF_225m_vg94",488551.5,16,918.357753288171
"205","SMP4_Goulds_Long-eared_Bat_Nyctophilus_gouldi_Spp11334_RF_225m_vg94",4960045.125,19,830.667791664382
"206","SMP4_Goulds_Wattled_Bat_Chalinolobus_gouldii_Spp11349_RF_225m_vg94",13471995.9375,9,693.154116019635
"207","SMP4_Grass_skink_FORM_P-pag_cry_Pseudemoia_form_cryodoma_pagenstecheri_Spp12948_RF_225m_vg94",845710.875,3,818.619089386411
"208","SMP4_Grassland_Earless_Dragon_Tympanocryptis_pinguicolla_Spp12922_RF_225m_vg94",154117.6875,1,720.413465651336
"209","SMP4_Grays_Blind_Snake_Ramphotyphlops_nigrescens_Spp12599_RF_225m_vg94",420749.4375,5,784.914582115859
"210","SMP4_Great_Cormorant_Phalacrocorax_carbo_Spp10096_RF_225m_vg94",7064389.6875,13,627.052460594844
"211","SMP4_Great_Crested_Grebe_Podiceps_cristatus_Spp10060_RF_225m_vg94",83475.5625,4,1265.61543365253
"212","SMP4_Great_Knot_Calidris_tenuirostris_Spp10165_RF_225m_vg94",42297.1875,2,974.445978385583
"213","SMP4_Greater_Glider_Petauroides_volans_Spp11133_RF_225m_vg94",3261465,7,661.504729582899
"214","SMP4_Greater_Sand_Plover_Charadrius_leschenaultii_Spp10141_RF_225m_vg94",103664.8125,7,1364.15363397089
"215","SMP4_Green_and_Golden_Bell_Frog_Litoria_aurea_Spp13166_RF_225m_vg94",481808.25,3,1008.48464452379
