"","TAXON_ID","Sci_Name","COMMON_NAME","TaxaGroup","TAXON_TYPE","Extinction_Risk","Sci_Name_Alt","score_mass","score_homerange","score_dispersal","score_habitat_breadth","score_foraging_stratum","score_torpor","score_diet_breadth","score_n_offspring","score_plant_diet","score_inv_diet","sum_vulnerability_score","number_traits","vulnerability_score"
"46",11357,"Myotis macropus","Southern Myotis","Mammals","Bats","NotListed","Myotis macropus",0.66,NA,NA,1,0.66,0,1,0.66,0,1,4.98,8,0.6225
"47",11055,"Ningaui yvonneae","Mallee Ningaui","Mammals","Mammals","NotListed","Ningaui yvonneae",0.66,NA,0.66,1,0.66,1,1,0.33,0,1,6.31,9,0.701111111111111
"48",11480,"Notomys mitchelli","Mitchell's Hopping-mouse","Mammals","Mammals","NotListed","Notomys mitchellii",0.66,NA,0.66,1,0.66,1,0,0.33,1,0,5.31,9,0.59
"49",61092,"Isoodon obesulus obesulus","Southern Brown Bandicoot","Mammals","Mammals","Australia","Isoodon obesulus",0.66,0.66,0.33,0,0.66,1,1,0.66,0,1,5.97,10,0.597
"50",11017,"Phascogale tapoatafa","Brush-tailed Phascogale","Mammals","Mammals","Victoria","Phascogale tapoatafa",0.66,NA,0.66,1,1,1,0,0.33,0,0,4.65,9,0.516666666666667
"51",61342,"Miniopterus orianae oceanensis","Common Bent-wing Bat (eastern ssp.)","Mammals","Bats","Victoria","Miniopterus schreibersii",0.66,NA,NA,NA,0.66,0,1,0.66,0,1,3.98,7,0.568571428571429
"52",11175,"Potorous tridactylus trisulcatus","Long-nosed Potoroo","Mammals","Mammals","Australia","Potorous tridactylus",0.66,NA,0.66,1,0.66,1,1,0.66,1,0,6.64,9,0.737777777777778
"53",11069,"Sminthopsis leucopus","White-footed Dunnart","Mammals","Mammals","Victoria","Sminthopsis leucopus",0.66,0.66,0.66,0,0.66,1,1,0.33,0,1,5.97,10,0.597
"54",61332,"Nyctophilus corbeni","South-eastern Long-eared Bat","Mammals","Bats","Victoria","Nyctophilus corbeni",NA,NA,NA,NA,0.66,0,1,0.66,0,1,3.32,6,0.553333333333333
"55",11179,"Potorous longipes","Long-footed Potoroo","Mammals","Mammals","Australia","Potorous longipes",0.66,0.66,0.66,1,0.66,1,1,0.66,1,0,7.3,10,0.73
"56",11008,"Dasyurus maculatus maculatus","Spot-tailed Quoll","Mammals","Mammals","Victoria","Dasyurus maculatus",0.66,0.66,0.66,1,0.66,1,1,0.66,0,0,6.3,10,0.63
"57",11303,"Rhinolophus megaphyllus megaphyllus","Eastern Horseshoe Bat","Mammals","Bats","Victoria","Rhinolophus megaphyllus",0.66,NA,NA,0,0.66,0,1,0.66,0,1,3.98,8,0.4975
"58",11458,"Pseudomys fumeus","Smoky Mouse","Mammals","Mammals","Victoria","Pseudomys fumeus",0.66,NA,0.66,1,0.66,1,0,0.66,1,0,5.64,9,0.626666666666667
"59",11137,"Petaurus norfolcensis","Squirrel Glider","Mammals","Mammals","Victoria","Petaurus norfolcensis",0.66,0.66,0.66,1,1,1,0,0.66,1,0,6.64,10,0.664
"60",61343,"Miniopterus orianae bassanii","Common Bent-wing Bat (southern ssp.)","Mammals","Bats","Victoria","Miniopterus schreibersii",0.66,NA,NA,NA,0.66,0,1,0.66,0,1,3.98,7,0.568571428571429
"61",61266,"Osphranter robustus robustus","Eastern Wallaroo","Mammals","Mammals","Victoria","Macropus robustus",0.33,0.66,0.33,0,0.66,1,1,0.66,1,0,5.64,10,0.564
"62",11468,"Pseudomys shortridgei","Heath Mouse","Mammals","Mammals","Australia","Pseudomys shortridgei",0.66,NA,0.66,1,0.66,1,0,0.66,1,0,5.64,9,0.626666666666667
"63",11280,"Pteropus poliocephalus","Grey-headed Flying-fox","Mammals","Bats","Victoria","Pteropus poliocephalus",0.66,NA,NA,1,1,1,1,0.66,1,0,6.32,8,0.79
"64",11321,"Saccolaimus flaviventris","Yellow-bellied Sheathtail Bat","Mammals","Bats","Victoria","Saccolaimus flaviventris",0.66,NA,NA,0,0.66,1,1,0.66,0,1,4.98,8,0.6225
"65",11438,"Mastacomys fuscus mordicus","Broad-toothed Rat","Mammals","Mammals","Australia","Mastacomys fuscus",0.66,1,0.66,0,0.66,1,0,0.66,1,0,5.64,10,0.564
"66",11050,"Planigale gilesi","Gile's Planigale","Mammals","Mammals","Victoria","Planigale gilesi",0.66,NA,0.66,1,0.66,0,0,0.33,0,0,3.31,9,0.367777777777778
"67",11034,"Antechinus minimus maritimus","Swamp Antechinus","Mammals","Mammals","Australia","Antechinus minimus",0.66,NA,0.66,0,0.66,1,1,0.33,0,1,5.31,9,0.59
"68",11141,"Gymnobelideus leadbeateri","Leadbeater's Possum","Mammals","Mammals","Australia","Gymnobelideus leadbeateri",0.66,0.66,0.66,1,1,1,1,0.66,1,1,8.64,10,0.864
"69",11455,"Pseudomys novaehollandiae","New Holland Mouse","Mammals","Mammals","Victoria","Pseudomys novaehollandiae",0.66,NA,0.66,1,0.66,1,0,0.33,1,0,5.31,9,0.59
"70",11156,"Burramys parvus","Mountain Pygmy-possum","Mammals","Mammals","Australia","Burramys parvus",0.66,NA,0.66,1,1,0,0,0.66,1,0,4.98,9,0.553333333333333
"71",11215,"Petrogale penicillata","Brush-tailed Rock-wallaby","Mammals","Mammals","Victoria","Petrogale penicillata",0.66,NA,0.66,0,0.66,1,1,0.66,1,0,5.64,9,0.626666666666667
