"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_supported","volant","hibernation_torpor","diet","diet_animals","diet_plants","diet_simple","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_curve_shape","fame_lm_slope","cluster"
"96",12407,"Lissolepis coventryi","Lissolepis coventryi","Lissolepis","Swamp Skink","Reptiles","Victoria","Endangered",79.43282347,0.01,0.02,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,"Omnivore",0,0,"Omnivore",NA,0,0,NA,0,1,0,2.75,0.785,3285,2.15875,325857.9375,9,717.970046214407,"Dry Temperate Forest",4,0.643255920400852,1.05349794238683,NA,NA,11
"97",12141,"Aprasia aurita","Aprasia aurita","Aprasia","Mallee Worm-Lizard","Reptiles","Victoria","Endangered",6.760829754,0.02,0.05,NA,"0","0","0",0,"1",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,2,3.5,1825,1.765,254010.9375,1,797.843571458088,"Dry Temperate Forest",3,1.44440772236395,2.98449612403101,NA,NA,10
"98",12176,"Pygopus schraderi","Pygopus schraderi","Pygopus","Hooded Scaly-foot","Reptiles","Victoria","Critically Endangered",12.88249552,0.1,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,2,1.5,1825,4,127180.125,4,938.735449311132,"Dry Cropping Zone",5,0.0341512723190468,NA,NA,NA,15
"99",62958,"Eulamprus tympanum marnieae","Eulamprus tympanum","Eulamprus","Corangamite Water Skink","Reptiles","Victoria","Endangered",21.3796209,0.01,0.01,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,3.28,0.75,5475,2.46,115268.0625,4,1061.11938128269,"Temperate Cropping Zone",4,NA,NA,NA,NA,5
"100",12137,"Rhynchoedura ornata","Rhynchoedura ornata","Rhynchoedura","Beaked Gecko","Reptiles","Victoria","Endangered",3.630780548,0.05,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,1.985,3.5,1022,6.9475,64987.3125,3,653.416404983945,"Dry Cropping Zone",4,0.764951415662091,2.27272727272727,NA,NA,15
"101",12669,"Furina diadema","Furina diadema","Furina","Red-naped Snake","Reptiles","Victoria","Endangered",27.8072729,0.1,0.05,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Carnivore",NA,NA,NA,NA,NA,0,NA,3.1,1,5475,6.7,47709,2,761.932021981795,"Arid Chenopod Shrubland Transition",3,1.03754594599954,NA,NA,NA,13
"102",5133,"Chelodina expansa","Chelodina expansa","Chelodina","Broad-shelled Turtle","Reptiles","Victoria","Endangered",9450,1.75873031788473,0.335422732224203,NA,"0","0","1",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,28,1.5,13505,14.52,48554.4375,6,732.739446067984,"Temperate Cropping Zone",7,-0.159337364919735,NA,NA,NA,17
"103",12992,"Pseudemoia cryodroma","Pseudemoia cryodroma","Pseudemoia","Alpine Bog Skink","Reptiles","Australia","Endangered",4.168694,0.04,0.05,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Omnivore",NA,NA,NA,NA,NA,1,NA,3.05,2,4380,4.05,30192.75,3,2084.9971925412,"Wet Temperate Forest",2,0.597423095557525,3.64035087719298,NA,NA,1
"104",62921,"Tympanocryptis petersi","Tympanocryptis petersi","Tympanocryptis","Lined Earless Dragon","Reptiles","Victoria","Endangered",9.7,0.5,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Carnivore",NA,NA,NA,NA,NA,0,NA,2.55,2,1460,9,35073,2,902.738885695745,"Dry Cropping Zone",4,0.434847683383487,NA,NA,NA,15
"105",12813,"Parasuta spectabilis","Suta spectabilis","Parasuta","Port Lincoln Snake","Reptiles","Victoria","Endangered",27.8072729,0.5,0.5,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Carnivore",NA,NA,NA,NA,NA,0,NA,3,1,1460,5,79253.4375,1,947.097097156836,"Dry Temperate Forest",6,1.67598228711878,-0.049295774647887,NA,NA,13
"106",12550,"Eulamprus kosciuskoi","Eulamprus kosciuskoi","Eulamprus","Alpine Water Skink","Reptiles","Victoria","Endangered",12.88249552,0.02,0.02,NA,"0","0","1",0,"0",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,3.1,1,2190,5,22755.9375,1,1021.53958050002,"Wet Temperate Forest",1,NA,NA,NA,NA,6
"107",62968,"Morelia spilota spilota","Morelia spilota","Morelia","Diamond Python","Reptiles","Victoria","Critically Endangered",21710.16364,25,1,NA,"0","1","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,16.2,0.415,9125,6.723,223463.8125,1,569.933854578151,"Wet Temperate Forest",2,1.50489987701633,1.19738184291057,NA,NA,14
"108",12987,"Cyclodomorphus praealtus","Cyclodomorphus praealtus","Cyclodomorphus","Alpine She-oak Skink","Reptiles","Victoria","Critically Endangered",45.70881896,0.05,0.1,NA,"0","0","0",1,"0",0,"0","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,4.9,1.5,6570,9,21444.75,1,1188.71021971664,"Wet Temperate Forest",1,NA,NA,NA,NA,3
"109",12144,"Aprasia parapulchella","Aprasia parapulchella","Aprasia","Pink-tailed Worm-Lizard","Reptiles","Victoria","Endangered",8.317637711,0.02,0.05,NA,"0","0","0",0,"1",0,"0","0",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,2,2,5475,5.3,18063,1,2266.90164899438,"Temperate Cropping Zone",2,1.84960056065959,1.55233579206182,NA,NA,10
"110",12432,"Liopholis guthega","Liopholis guthega","Liopholis","Guthega Skink","Reptiles","Victoria","Critically Endangered",32.35936569,0.01,0.05,NA,"0","0","0",0,"1",0,"1","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Carnivore",NA,NA,NA,NA,NA,1,NA,2.275,1,2190,4.5,3645,0,684.837735770632,"Wet Temperate Forest",1,NA,NA,NA,NA,12
"111",12667,"Echiopsis curta","Echiopsis curta","Echiopsis","Bardick","Reptiles","Victoria","Endangered",73.79213231,0.2,0.5,NA,"0","0","0",0,"1",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Omnivore",NA,NA,NA,NA,NA,1,NA,7.1,0.375,14600,7.2,909493.3125,6,610.5395620168,"Dry Temperate Forest",5,1.89511360523255,1.06752701080432,NA,NA,11
"112",12922,"Tympanocryptis pinguicolla","Tympanocryptis pinguicolla","Tympanocryptis","Grassland Earless Dragon","Reptiles","Australia","Critically Endangered",8.7096359,0.5,0.1,NA,"0","0","0",0,"0",0,"0","1",NA,NA,0,0,0,0,0,1,NA,0,0,"Carnivore",NA,NA,NA,NA,NA,1,NA,4.5,1.5,1825,7.2,154117.6875,1,720.413465651336,"Dry Temperate Forest",2,-0.0768397233107418,NA,NA,NA,2
"113",63940,"Rankinia diemensis (Anglesea)","Rankinia diemensis","Rankinia","Mountain Dragon Angelsea form","Reptiles","NotListed","NotListed",19.498446,0.926818181818182,0.314090909090909,NA,"0","1","0",0,"0",0,"1","1",NA,NA,0,0,0,0,0,1,"Carnivore",1,0,"Carnivore",NA,1,0,NA,0,0,0,5.4,1.5,3650,8.1,754.3125,0,599.928645274429,"Dry Temperate Forest",2,2.02286835080736,2.85,NA,NA,8
