"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope","smp_cluster","fame_cluster"
"25",10237,"Falco peregrinus","Falco peregrinus","Falco","Peregrine Falcon","Birds","NotListed","NotListed",760,NA,NA,"Aerial","1","0","0","0","0",0,"0","0","Ledge","0","0","0","0","1","1","0","Vertivore",NA,"1","1","0","1","0","0",3.5,1,9125,3.5,14921253,4,719.314607882267,"1",8,0.4,2,0.000420863885063451,"15","13"
"26",10235,"Falco longipennis","Falco longipennis","Falco","Australian Hobby","Birds","NotListed","NotListed",249.8,NA,NA,"Aerial","1","0","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Vertivore",NA,"1","1","0","1","0","0",2.8,1,3832.5,3.5,17115973.3125,8,639.150617146268,"1",8,0,NA,0.000256958350392672,"15","13"
"27",10238,"Falco subniger","Falco subniger","Falco","Black Falcon","Birds","Victoria","Critically Endangered",776,NA,NA,"Generalist","0","0","0","0","0",1,"0","0","Branch","0","0","0","0","1","1","0","Vertivore",NA,"1","1","0","1","0","0",3.5,1,3759.5,2.635,12795732,2,584.190006869765,"1",8,0,NA,NA,"16","13"
"28",10401,"Pachycephala rufiventris","Pachycephala rufiventris","Pachycephala","Rufous Whistler","Birds","NotListed","NotListed",22.5,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.45,2,3710.83333455,3.5,13578379.3125,5,724.581549434933,"1",8,0.8,3,0.000234954188445285,"17","6"
"29",10398,"Pachycephala pectoralis","Pachycephala pectoralis","Pachycephala","Golden Whistler","Birds","NotListed","NotListed",30.4,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",1.95,2,1946.666666545,4,8625684.9375,13,739.594344041556,"1",8,0.25,NA,0.000178559607458613,"3","3"
"30",10380,"Petroica boodang","Petroica boodang","Petroica","Scarlet Robin","Birds","NotListed","NotListed",12.5,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",3.25,2.5,2524.583333455,4,10424320.3125,10,758.292182494805,"1",7,0.5,NA,7.19681550358655e-06,"18","3"
"31",10382,"Petroica phoenicea","Petroica phoenicea","Petroica","Flame Robin","Birds","NotListed","NotListed",13,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",3.25,2,4532.08333455,1.825,11524553.4375,6,727.407674073466,"1",7,0.333333333333333,NA,6.09849143765605e-05,"18","3"
"32",10547,"Artamus cyanopterus","Artamus cyanopterus","Artamus","Dusky Woodswallow","Birds","NotListed","NotListed",34.6,NA,NA,"Aerial","1","0","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",3.5,1,2281.25,2.635,12480788.8125,5,764.747503497317,"1",8,0.4,NA,0.000685166824658694,"16","14"
"33",10381,"Petroica goodenovii","Petroica goodenovii","Petroica","Red-capped Robin","Birds","NotListed","NotListed",8.9,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.45,2.5,2524.583333455,7.875,7916494.5,8,675.09258886989,"1",8,1.5,6,4.28900475159107e-05,"3","3"
"34",10545,"Artamus superciliosus","Artamus superciliosus","Artamus","White-browed Woodswallow","Birds","NotListed","NotListed",35.5,NA,NA,"Aerial","1","0","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.4,2,3832.5,2,11302036.3125,8,656.80757133494,"1",8,NA,NA,5.58992237482467e-05,"18","3"
