"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope"
"26",11457,"Pseudomys apodemoides","Pseudomys apodemoides","Pseudomys","Silky Mouse","Mammals","NotListed","NotListed",21.89,NA,0.13,"Terrestrial",0,0,0,0,1,0,0,1,"Burrow",1,0,0,0,0,0,0,"Omnivore",3,0,0,0,0,1,0,4.7,3,1627.652,14.1,580896.5625,3,781.222308165552,1,5,0.75,-1.22222222222222,-0.000708545799679904
"27",11362,"Scotorepens greyii","Scotorepens greyii","Scotorepens","Little Broad-nosed Bat","Mammals","NotListed","NotListed",10,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Ground",0,0,1,0,0,1,1,"Herbivore",1,0,1,0,0,0,0,1.471,1.009,5349.252,1.484239,840167.4375,3,813.215973220613,14,6,1.4,NA,NA
"28",11349,"Chalinolobus gouldii","Chalinolobus gouldii","Chalinolobus","Gould's Wattled Bat","Mammals","NotListed","NotListed",15.87,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,1,1,"Invertivore",1,0,0,1,0,0,0,1.705,0.75,2761.833,1.27875,13471995.9375,9,693.154116019635,1,8,1.5,NA,0.00160850671827893
"29",11351,"Chalinolobus morio","Chalinolobus morio","Chalinolobus","Chocolate Wattled Bat","Mammals","NotListed","NotListed",8.91,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,1,1,"Invertivore",1,0,0,1,0,0,0,1.19,1,3125.543,1.19,9185369.625,15,698.431538737401,1,8,1.16666666666667,1.4,0.00129072840287342
"30",11113,"Trichosurus vulpecula","Trichosurus vulpecula","Trichosurus","Common Brushtail Possum","Mammals","NotListed","NotListed",2001.167,0.03,1.552,"Arboreal",0,1,0,0,0,0,0,0,"Hollows",0,0,0,1,0,0,0,"Herbivore",3,0,1,0,0,0,0,1.007,1.6,5803.5,1.6112,11168381.25,7,757.283608218168,1,8,0.75,1.22222222222222,-9.13418158433079e-06
"31",11115,"Trichosurus cunninghami","Trichosurus cunninghami","Trichosurus","Mountain Brushtail Possum","Mammals","NotListed","NotListed",3400,NA,2.078,"Arboreal",0,1,0,0,0,0,0,0,"Hollows",0,0,0,1,0,0,0,"Herbivore",1,0,1,0,0,0,0,1.137,1.55,4260.062,1.76235,1821507.75,9,697.716581459943,4,4,1.875,1,-3.5944423099432e-05
"32",11395,"Rattus fuscipes","Rattus fuscipes","Rattus","Bush Rat","Mammals","NotListed","NotListed",127.29,NA,0.341,"Terrestrial",0,0,0,0,1,0,0,1,"Burrow",1,0,0,0,0,0,0,"Omnivore",3,0,0,0,0,1,0,4.58,3.3,1934.5,15.114,1321621.3125,19,734.032929979341,4,4,1.33333333333333,-2.7,-0.000194422337640131
"33",11398,"Rattus lutreolus","Rattus lutreolus","Rattus","Swamp Rat","Mammals","NotListed","NotListed",112,NA,0.318,"Terrestrial",0,0,0,0,1,0,0,1,"Burrow",1,0,0,0,0,0,0,"Herbivore",3,0,1,0,0,0,0,4.91,2.53,1609.042,12.4223,1035605.25,14,752.342424584771,1,4,1.625,NA,-0.000147569974317945
"34",11324,"Tadarida australis","Austronomus australis","Tadarida","White-striped Freetail Bat","Mammals","NotListed","NotListed",36.4,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,1,0,"Invertivore",1,0,0,1,0,0,0,1,1,5119.044,1,12550231.125,6,732.137791279527,1,8,1.125,-2,0.00189181896006253
"35",11003,"Tachyglossus aculeatus","Tachyglossus aculeatus","Tachyglossus","Short-beaked Echidna","Mammals","NotListed","NotListed",3169.5,0.44,11.439,"Terrestrial",0,0,0,0,1,0,0,1,"Burrow",1,0,0,0,0,0,1,"Invertivore",1,0,0,1,0,0,0,1,0.58,18250,0.58,11286231.1875,12,753.700702581207,1,8,1.16666666666667,NA,-0.000600157238730164
"36",11242,"Wallabia bicolor","Wallabia bicolor","Wallabia","Black Wallaby","Mammals","NotListed","NotListed",14812.475,0.11,4.668,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,0,0,"Herbivore",1,0,1,0,0,0,0,1.02,1.4,6132,1.428,4816239.75,20,791.147269392672,4,8,1,-0.166666666666667,-7.81221296470571e-05
"37",11129,"Pseudocheirus peregrinus","Pseudocheirus peregrinus","Pseudocheirus","Common Ringtail Possum","Mammals","NotListed","NotListed",859.3,0.009,0.975,"Arboreal",0,1,0,0,0,0,0,0,"Branch",0,0,0,0,1,0,0,"Herbivore",2,0,1,0,0,0,0,1.945,1.5,3686.5,2.9175,7875852.75,7,688.729235601039,1,5,1.57142857142857,0.4,0.000388172027287852
"38",11162,"Phascolarctos cinereus","Phascolarctos cinereus","Phascolarctos","Koala","Mammals","NotListed","NotListed",5646.87,0.01,2.747,"Arboreal",0,1,0,0,0,0,0,0,"Branch",0,0,0,0,1,0,0,"Herbivore",1,0,1,0,0,0,0,1.005,1,8066.5,1.005,5415649.875,17,716.909202022252,1,7,2.2,1.66666666666667,0.000675212917502714
"39",11165,"Vombatus ursinus","Vombatus ursinus","Vombatus","Common Wombat","Mammals","NotListed","NotListed",25750,0.08,6.328,"Terrestrial",0,0,0,0,1,0,0,1,"Burrow",1,0,0,0,0,0,0,"Herbivore",1,0,1,0,0,0,0,1,0.77,10959.125,0.77,5597429.0625,6,661.909897891727,4,4,0.5,0.75,-4.620902772356e-06
"40",11372,"Falsistrellus tasmaniensis","Falsistrellus tasmaniensis","Falsistrellus","Eastern False Pipistrelle","Mammals","NotListed","NotListed",22.54,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,1,1,"Invertivore",1,0,0,1,0,0,0,1.324,0.98,6386.869,1.29752,4198964.0625,16,790.69538034185,4,4,2.09090909090909,2,0.00189181896006253
"41",5136,"Ornithorhynchus anatinus","Ornithorhynchus anatinus","Ornithorhynchus","Platypus","Mammals","Victoria","Vulnerable",1225,0.07,7.18,"Terrestrial",0,0,1,0,1,0,0,1,"Burrow",1,0,0,0,0,0,0,"Carnivore",2,1,0,0,0,0,0,2,1.1,8249,2.2,17853503.625,3,489.759232563509,1,8,1.5,NA,NA
"42",11147,"Acrobates pygmaeus","Acrobates pygmaeus","Acrobates","Feathertail Glider","Mammals","NotListed","NotListed",13,0.006,0.097,"Arboreal",0,1,0,0,0,0,0,0,"Hollows",0,0,0,1,0,0,0,"Infloresence",1,0,0,0,1,0,0,3,2,3212,6,5732785.125,21,792.830965870826,4,7,2.11111111111111,NA,0.000821340305951536
"43",11415,"Hydromys chrysogaster","Hydromys chrysogaster","Hydromys","Water Rat","Mammals","NotListed","NotListed",738.085,NA,5.601,"Terrestrial",0,0,1,0,1,0,0,1,"Burrow",1,0,0,0,0,0,0,"Carnivore",2,1,0,0,0,0,0,3.8,2.12,2664.5,8.056,19548291.9375,1,483.3674408347,1,8,0.8,NA,0.000163143580281699
"44",11097,"Perameles nasuta","Perameles nasuta","Perameles","Long-nosed Bandicoot","Mammals","NotListed","NotListed",720.26,NA,0.885,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,0,0,"Omnivore",1,0,0,0,0,1,0,2.565,2.92,2044,7.4898,1811929.5,19,779.918905499572,4,5,1.8,2,-0.000322239364695446
"45",11133,"Petauroides volans","Petauroides volans","Petauroides","Greater Glider","Mammals","Australia","Endangered",1141,0.01,1.14,"Arboreal",0,1,0,0,0,0,0,0,"Hollows",0,0,0,1,0,0,0,"Herbivore",1,0,1,0,0,0,0,1,1,5475,1,3261465,7,661.504729582899,4,4,1.2875,0.549107142857143,0.000915162653068823
"46",11357,"Myotis macropus","Myotis macropus","Myotis","Southern Myotis","Mammals","NotListed","NotListed",10.41,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,1,1,"Invertivore",1,0,0,1,0,0,0,1,2.5,2889.821,2.5,9506215.6875,9,611.558442701982,1,8,1.8,NA,NA
"47",11055,"Ningaui yvonneae","Ningaui yvonneae","Ningaui","Mallee Ningaui","Mammals","NotListed","NotListed",11.55,NA,0.73,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,0,0,"Invertivore",2,0,0,1,0,0,0,7,2,730,14,693258.75,3,740.750820261696,14,3,1.7,1.1,-0.000851764246101165
"48",11480,"Notomys mitchelli","Notomys mitchellii","Notomys","Mitchell's Hopping-mouse","Mammals","NotListed","NotListed",52,NA,0.209,"Terrestrial",0,0,0,0,1,0,0,1,"Burrow",1,0,0,0,0,0,0,"Omnivore",3,0,0,0,0,1,0,3.28,3.53,1934.5,11.5784,633946.5,4,806.70960325274,1,6,1.26315789473684,-4,-0.000191763129489706
"49",61092,"Isoodon obesulus obesulus","Isoodon obesulus","Isoodon","Southern Brown Bandicoot","Mammals","Australia","Endangered",717,0.01,5.522,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,0,0,"Omnivore",1,0,0,0,0,1,0,2.53,2.2,2372.5,5.566,730488.375,14,715.034300431532,1,4,1.26315789473684,-0.185185185185185,NA
"50",11017,"Phascogale tapoatafa","Phascogale tapoatafa","Phascogale","Brush-tailed Phascogale","Mammals","Victoria","Vulnerable",157,NA,0.383,"Arboreal",0,1,0,0,1,0,0,0,"Ground",0,0,1,0,0,0,0,"Invertivore",3,0,0,1,0,0,0,6.595,1,2156.542,6.595,1719792,12,735.773785187428,1,5,2.11111111111111,-1.8,-0.000203835470519596
"51",61342,"Miniopterus orianae oceanensis","Miniopterus schreibersii","Miniopterus","Common Bent-wing Bat (eastern ssp.)","Mammals","Victoria","Critically Endangered",11.185,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Cave",0,1,0,0,0,1,1,"Invertivore",1,0,0,1,0,0,0,0.995,1,8030,0.995,4277103.75,15,743.196665382796,4,5,0.555555555555556,-0.25,NA
"52",11175,"Potorous tridactylus trisulcatus","Potorous tridactylus","Potorous","Long-nosed Potoroo","Mammals","Australia","Vulnerable",1054.67,NA,1.091,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,0,0,"Omnivore",2,0,0,0,0,1,0,1,2,5496.292,2,699667.875,10,904.731292836195,4,4,1.64583333333333,1.05384615384615,0.000116029755047158
"53",11069,"Sminthopsis leucopus","Sminthopsis leucopus","Sminthopsis","White-footed Dunnart","Mammals","Victoria","Vulnerable",23.36,0.009,1.031,"Terrestrial",0,0,0,0,1,0,0,1,"Hollows",0,0,0,1,0,0,0,"Carnivore",1,1,0,0,0,0,0,8,1,912.5,8,1369664.4375,7,779.39000647618,4,4,1.21428571428571,-0.569230769230769,-0.00086032284113373
"54",61332,"Nyctophilus corbeni","Nyctophilus corbeni","Nyctophilus","South-eastern Long-eared Bat","Mammals","Victoria","Endangered",NA,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Hollows",0,0,0,1,0,1,1,"Invertivore",1,0,0,1,0,0,0,1.61,1.044,4046.039,1.68084,1355185.6875,7,745.335217959508,14,5,2.5,3.16666666666667,NA
"55",11179,"Potorous longipes","Potorous longipes","Potorous","Long-footed Potoroo","Mammals","Australia","Endangered",1742.53,0.29,1.439,"Terrestrial",0,0,0,0,1,0,0,1,"Ground",0,0,1,0,0,0,0,"Omnivore",2,0,0,0,0,1,0,1,1.72,5587.542,1.72,676775.25,3,693.254196646944,4,3,1.68571428571429,0.892857142857143,0.000302221746628447
"56",11008,"Dasyurus maculatus maculatus","Dasyurus maculatus","Dasyurus","Spot-tailed Quoll","Mammals","Victoria","Endangered",1782,1.36,1.456,"Terrestrial",0,0,0,0,0,0,0,1,"Ground",0,0,1,0,0,0,0,"Carnivore",2,1,0,0,0,0,0,4.47,1,2482,4.47,3324867.75,6,680.623006503638,4,4,1.47222222222222,-0.688888888888889,0.000301885522512135
"57",11303,"Rhinolophus megaphyllus megaphyllus","Rhinolophus megaphyllus","Rhinolophus","Eastern Horseshoe Bat","Mammals","Victoria","Endangered",8.65,NA,NA,"Aerial",1,0,0,0,0,0,0,0,"Cave",0,1,0,0,0,1,1,"Invertivore",1,0,0,1,0,0,0,1,1,2737.5,1,1096254,9,659.739818935981,4,4,1.25,2.16666666666667,NA
"58",11458,"Pseudomys fumeus","Pseudomys fumeus","Pseudomys","Smoky Mouse","Mammals","Victoria","Endangered",70,NA,0.246,"Terrestrial",0,0,0,0,1,0,0,1,"Burrow",1,0,0,0,0,0,0,"Omnivore",3,0,0,0,0,1,0,3.5,1.5,2372.5,5.25,1131990.1875,10,736.339361369155,4,4,1.40983606557377,-1.04166666666667,-0.000675572263371425
